Тип несоответствия,TXT индекс,SLI индекс,Элемент из txt,Элемент из sli
Несоответствие индексов,533,390,1.75000 | 12.75000 | -1.10000      1.75000 | 12.75000 | -1.65000      1.25000 | 12.75000 | -1.10000      1.25000 | 12.75000 | -1.65000,1.75000 | 12.75000 | -1.10000      1.75000 | 12.75000 | -1.65000      1.25000 | 12.75000 | -1.65000      1.25000 | 12.75000 | -1.10000
Несоответствие индексов,1743,1377,6.25000 | 8.75000 | 6.60000      5.75000 | 8.75000 | 6.60000      6.25000 | 8.25000 | 6.60000      5.75000 | 8.25000 | 6.60000,6.25000 | 8.75000 | 6.60000      5.75000 | 8.75000 | 6.60000      5.75000 | 8.25000 | 6.60000      6.25000 | 8.25000 | 6.60000
Несоответствие индексов,2626,2173,9.75000 | 9.25000 | 0.00000      9.25000 | 9.25000 | 0.00000      9.75000 | 8.75000 | 0.00000      9.25000 | 8.75000 | 0.00000,9.75000 | 9.25000 | 0.00000      9.25000 | 9.25000 | 0.00000      9.25000 | 8.75000 | 0.00000      9.75000 | 8.75000 | 0.00000
Несоответствие индексов,2480,2039,9.25000 | 7.12500 | -3.30000      8.75000 | 7.12500 | -3.30000      9.25000 | 6.75000 | -3.30000      8.75000 | 6.75000 | -3.30000,9.25000 | 7.12500 | -3.30000      8.75000 | 7.12500 | -3.30000      8.75000 | 6.75000 | -3.30000      9.25000 | 6.75000 | -3.30000
Несоответствие индексов,4040,3343,14.75000 | 7.75000 | 6.60000      14.25000 | 7.75000 | 6.60000      14.75000 | 7.25000 | 6.60000      14.25000 | 7.25000 | 6.60000,14.75000 | 7.75000 | 6.60000      14.25000 | 7.75000 | 6.60000      14.25000 | 7.25000 | 6.60000      14.75000 | 7.25000 | 6.60000
Несоответствие индексов,3341,2712,12.25000 | 0.75000 | -1.65000      12.25000 | 0.75000 | -2.20000      11.75000 | 0.75000 | -1.65000      11.75000 | 0.75000 | -2.20000,12.25000 | 0.75000 | -1.65000      12.25000 | 0.75000 | -2.20000      11.75000 | 0.75000 | -2.20000      11.75000 | 0.75000 | -1.65000
Несоответствие индексов,292,169,1.25000 | 0.75000 | -1.65000      1.25000 | 0.75000 | -2.20000      0.75000 | 0.75000 | -1.65000      0.75000 | 0.75000 | -2.20000,1.25000 | 0.75000 | -1.65000      1.25000 | 0.75000 | -2.20000      0.75000 | 0.75000 | -2.20000      0.75000 | 0.75000 | -1.65000
Несоответствие индексов,3139,2530,11.25000 | 6.25000 | 3.30000      10.75000 | 6.25000 | 3.30000      11.25000 | 5.75000 | 3.30000      10.75000 | 5.75000 | 3.30000,11.25000 | 6.25000 | 3.30000      10.75000 | 6.25000 | 3.30000      10.75000 | 5.75000 | 3.30000      11.25000 | 5.75000 | 3.30000
Несоответствие индексов,1013,822,3.75000 | 10.75000 | 0.00000      3.25000 | 10.75000 | 0.00000      3.75000 | 10.25000 | 0.00000      3.25000 | 10.25000 | 0.00000,3.75000 | 10.75000 | 0.00000      3.25000 | 10.75000 | 0.00000      3.25000 | 10.25000 | 0.00000      3.75000 | 10.25000 | 0.00000
Несоответствие индексов,1569,4052,5.75000 | 0.75000 | 3.30000      5.75000 | 1.25000 | 3.30000,5.75000 | 0.75000 | 3.30000      5.75000 | 1.25000 | 3.30000
Несоответствие индексов,2776,2305,10.25000 | 11.25000 | 6.60000      9.75000 | 11.25000 | 6.60000      10.25000 | 10.75000 | 6.60000      9.75000 | 10.75000 | 6.60000,10.25000 | 11.25000 | 6.60000      9.75000 | 11.25000 | 6.60000      9.75000 | 10.75000 | 6.60000      10.25000 | 10.75000 | 6.60000
Несоответствие индексов,3639,2982,13.25000 | 5.75000 | 3.30000      12.75000 | 5.75000 | 3.30000      13.25000 | 5.25000 | 3.30000      12.75000 | 5.25000 | 3.30000,13.25000 | 5.75000 | 3.30000      12.75000 | 5.75000 | 3.30000      12.75000 | 5.25000 | 3.30000      13.25000 | 5.25000 | 3.30000
Несоответствие индексов,2519,2078,9.25000 | 11.75000 | 6.60000      8.75000 | 11.75000 | 6.60000      9.25000 | 11.25000 | 6.60000      8.75000 | 11.25000 | 6.60000,9.25000 | 11.75000 | 6.60000      8.75000 | 11.75000 | 6.60000      8.75000 | 11.25000 | 6.60000      9.25000 | 11.25000 | 6.60000
Несоответствие индексов,3939,3254,14.25000 | 10.75000 | 9.90000      13.75000 | 10.75000 | 9.90000      14.25000 | 10.25000 | 9.90000      13.75000 | 10.25000 | 9.90000,14.25000 | 10.75000 | 9.90000      13.75000 | 10.75000 | 9.90000      13.75000 | 10.25000 | 9.90000      14.25000 | 10.25000 | 9.90000
Несоответствие индексов,2145,1740,7.75000 | 10.75000 | 0.00000      7.25000 | 10.75000 | 0.00000      7.75000 | 10.25000 | 0.00000      7.25000 | 10.25000 | 0.00000,7.75000 | 10.75000 | 0.00000      7.25000 | 10.75000 | 0.00000      7.25000 | 10.25000 | 0.00000      7.75000 | 10.25000 | 0.00000
Несоответствие индексов,2441,2008,9.25000 | 5.25000 | 6.60000      8.92500 | 4.82143 | 6.36429      8.75000 | 5.25000 | 6.60000,9.25000 | 5.25000 | 6.60000      8.92500 | 4.82143 | 6.36429      8.75000 | 5.25000 | 6.60000
Несоответствие индексов,3006,4344,10.75000 | 6.75000 | 0.00000      10.75000 | 6.75000 | 3.30000,10.75000 | 6.75000 | 0.00000      10.75000 | 6.75000 | 3.30000
Несоответствие индексов,618,463,2.25000 | 8.25000 | 9.90000      1.75000 | 8.25000 | 9.90000      2.25000 | 7.75000 | 9.90000      1.75000 | 7.75000 | 9.90000,2.25000 | 8.25000 | 9.90000      1.75000 | 8.25000 | 9.90000      1.75000 | 7.75000 | 9.90000      2.25000 | 7.75000 | 9.90000
Несоответствие индексов,3340,2711,12.25000 | 0.75000 | -2.20000      12.25000 | 0.75000 | -2.75000      11.75000 | 0.75000 | -2.20000      11.75000 | 0.75000 | -2.75000,12.25000 | 0.75000 | -2.20000      12.25000 | 0.75000 | -2.75000      11.75000 | 0.75000 | -2.75000      11.75000 | 0.75000 | -2.20000
Несоответствие индексов,2186,1777,8.25000 | 2.25000 | 1.65000      7.57500 | 2.25000 | 1.65000      8.25000 | 1.75000 | 1.65000      7.57500 | 1.75000 | 1.65000,8.25000 | 2.25000 | 1.65000      7.57500 | 2.25000 | 1.65000      7.57500 | 1.75000 | 1.65000      8.25000 | 1.75000 | 1.65000
Несоответствие индексов,635,480,2.25000 | 10.75000 | 0.00000      1.75000 | 10.75000 | 0.00000      2.25000 | 10.25000 | 0.00000      1.75000 | 10.25000 | 0.00000,2.25000 | 10.75000 | 0.00000      1.75000 | 10.75000 | 0.00000      1.75000 | 10.25000 | 0.00000      2.25000 | 10.25000 | 0.00000
Несоответствие индексов,447,308,1.75000 | 3.75000 | 0.00000      1.25000 | 3.75000 | 0.00000      1.75000 | 3.25000 | 0.00000      1.25000 | 3.25000 | 0.00000,1.75000 | 3.75000 | 0.00000      1.25000 | 3.75000 | 0.00000      1.25000 | 3.25000 | 0.00000      1.75000 | 3.25000 | 0.00000
Несоответствие индексов,3704,3043,13.25000 | 12.75000 | -3.30000      12.75000 | 12.75000 | -3.30000      13.25000 | 12.37500 | -3.30000      12.75000 | 12.37500 | -3.30000,13.25000 | 12.75000 | -3.30000      12.75000 | 12.75000 | -3.30000      12.75000 | 12.37500 | -3.30000      13.25000 | 12.37500 | -3.30000
Несоответствие индексов,3130,2521,11.25000 | 5.25000 | 0.00000      10.75000 | 5.25000 | 0.00000      11.25000 | 4.75000 | 0.00000      10.75000 | 4.75000 | 0.00000,11.25000 | 5.25000 | 0.00000      10.75000 | 5.25000 | 0.00000      10.75000 | 4.75000 | 0.00000      11.25000 | 4.75000 | 0.00000
Несоответствие индексов,2759,2288,10.25000 | 9.25000 | 3.30000      9.75000 | 9.25000 | 3.30000      10.25000 | 8.75000 | 3.30000      9.75000 | 8.75000 | 3.30000,10.25000 | 9.25000 | 3.30000      9.75000 | 9.25000 | 3.30000      9.75000 | 8.75000 | 3.30000      10.25000 | 8.75000 | 3.30000
Несоответствие индексов,2941,2454,10.75000 | 8.75000 | -3.30000      10.37500 | 8.75000 | -3.30000      10.75000 | 8.25000 | -3.30000      10.37500 | 8.25000 | -3.30000,10.75000 | 8.75000 | -3.30000      10.37500 | 8.75000 | -3.30000      10.37500 | 8.25000 | -3.30000      10.75000 | 8.25000 | -3.30000
Несоответствие индексов,2802,4274,10.17500 | 0.75000 | 0.00000      10.75000 | 0.75000 | 0.00000,10.17500 | 0.75000 | 0.00000      10.75000 | 0.75000 | 0.00000
Несоответствие индексов,1399,1172,5.25000 | 11.75000 | 0.00000      4.75000 | 11.75000 | 0.00000      5.25000 | 11.25000 | 0.00000      4.75000 | 11.25000 | 0.00000,5.25000 | 11.75000 | 0.00000      4.75000 | 11.75000 | 0.00000      4.75000 | 11.25000 | 0.00000      5.25000 | 11.25000 | 0.00000
Несоответствие индексов,1401,1174,5.25000 | 11.75000 | 6.60000      4.75000 | 11.75000 | 6.60000      5.25000 | 11.25000 | 6.60000      4.75000 | 11.25000 | 6.60000,5.25000 | 11.75000 | 6.60000      4.75000 | 11.75000 | 6.60000      4.75000 | 11.25000 | 6.60000      5.25000 | 11.25000 | 6.60000
Несоответствие индексов,2240,1827,8.25000 | 6.75000 | 3.30000      7.75000 | 6.75000 | 3.30000      8.25000 | 6.25000 | 3.30000      7.75000 | 6.25000 | 3.30000,8.25000 | 6.75000 | 3.30000      7.75000 | 6.75000 | 3.30000      7.75000 | 6.25000 | 3.30000      8.25000 | 6.25000 | 3.30000
Несоответствие индексов,3726,4467,13.25000 | 0.75000 | 9.90000      13.75000 | 0.75000 | 9.90000,13.25000 | 0.75000 | 9.90000      13.75000 | 0.75000 | 9.90000
Несоответствие индексов,3781,3108,13.75000 | 7.12500 | -3.30000      13.25000 | 7.12500 | -3.30000      13.75000 | 6.75000 | -3.30000      13.25000 | 6.75000 | -3.30000,13.75000 | 7.12500 | -3.30000      13.25000 | 7.12500 | -3.30000      13.25000 | 6.75000 | -3.30000      13.75000 | 6.75000 | -3.30000
Несоответствие индексов,4358,3633,15.75000 | 8.25000 | -3.30000      15.37500 | 8.25000 | -3.30000      15.75000 | 7.75000 | -3.30000      15.37500 | 7.75000 | -3.30000,15.75000 | 8.25000 | -3.30000      15.37500 | 8.25000 | -3.30000      15.37500 | 7.75000 | -3.30000      15.75000 | 7.75000 | -3.30000
Несоответствие индексов,126,77,0.75000 | 6.25000 | -1.10000      0.75000 | 5.75000 | -1.10000      0.75000 | 6.25000 | -1.65000      0.75000 | 5.75000 | -1.65000,0.75000 | 6.25000 | -1.10000      0.75000 | 5.75000 | -1.10000      0.75000 | 5.75000 | -1.65000      0.75000 | 6.25000 | -1.65000
Несоответствие индексов,2563,2118,9.60000 | 4.39286 | 6.12857      8.92500 | 4.39286 | 6.12857      9.60000 | 3.96429 | 5.89286      8.92500 | 3.96429 | 5.89286,9.60000 | 4.39286 | 6.12857      8.92500 | 4.39286 | 6.12857      8.92500 | 3.96429 | 5.89286      9.60000 | 3.96429 | 5.89286
Несоответствие индексов,3389,2756,12.25000 | 5.75000 | 9.90000      11.75000 | 5.75000 | 9.90000      12.25000 | 5.25000 | 9.90000      11.75000 | 5.25000 | 9.90000,12.25000 | 5.75000 | 9.90000      11.75000 | 5.75000 | 9.90000      11.75000 | 5.25000 | 9.90000      12.25000 | 5.25000 | 9.90000
Несоответствие индексов,2140,1735,7.75000 | 9.75000 | 9.90000      7.25000 | 9.75000 | 9.90000      7.75000 | 9.25000 | 9.90000      7.25000 | 9.25000 | 9.90000,7.75000 | 9.75000 | 9.90000      7.25000 | 9.75000 | 9.90000      7.25000 | 9.25000 | 9.90000      7.75000 | 9.25000 | 9.90000
Несоответствие индексов,740,573,2.75000 | 7.75000 | 9.90000      2.25000 | 7.75000 | 9.90000      2.75000 | 7.25000 | 9.90000      2.25000 | 7.25000 | 9.90000,2.75000 | 7.75000 | 9.90000      2.25000 | 7.75000 | 9.90000      2.25000 | 7.25000 | 9.90000      2.75000 | 7.25000 | 9.90000
Несоответствие индексов,1247,1032,4.75000 | 8.25000 | 6.60000      4.25000 | 8.25000 | 6.60000      4.75000 | 7.75000 | 6.60000      4.25000 | 7.75000 | 6.60000,4.75000 | 8.25000 | 6.60000      4.25000 | 8.25000 | 6.60000      4.25000 | 7.75000 | 6.60000      4.75000 | 7.75000 | 6.60000
Несоответствие индексов,101,64,0.75000 | 4.75000 | -1.65000      0.75000 | 4.25000 | -1.65000      0.75000 | 4.75000 | -2.20000      0.75000 | 4.25000 | -2.20000,0.75000 | 4.75000 | -1.65000      0.75000 | 4.25000 | -1.65000      0.75000 | 4.25000 | -2.20000      0.75000 | 4.75000 | -2.20000
Несоответствие индексов,882,703,3.25000 | 9.75000 | 9.90000      2.75000 | 9.75000 | 9.90000      3.25000 | 9.25000 | 9.90000      2.75000 | 9.25000 | 9.90000,3.25000 | 9.75000 | 9.90000      2.75000 | 9.75000 | 9.90000      2.75000 | 9.25000 | 9.90000      3.25000 | 9.25000 | 9.90000
Несоответствие индексов,4480,4578,15.75000 | 6.25000 | 3.30000      15.75000 | 6.75000 | 3.30000,15.75000 | 6.25000 | 3.30000      15.75000 | 6.75000 | 3.30000
Несоответствие индексов,4252,3535,15.75000 | 3.75000 | 0.00000      15.25000 | 3.75000 | 0.00000      15.75000 | 3.25000 | 0.00000      15.25000 | 3.25000 | 0.00000,15.75000 | 3.75000 | 0.00000      15.25000 | 3.75000 | 0.00000      15.25000 | 3.25000 | 0.00000      15.75000 | 3.25000 | 0.00000
Несоответствие индексов,896,717,3.25000 | 11.75000 | 3.30000      2.75000 | 11.75000 | 3.30000      3.25000 | 11.25000 | 3.30000      2.75000 | 11.25000 | 3.30000,3.25000 | 11.75000 | 3.30000      2.75000 | 11.75000 | 3.30000      2.75000 | 11.25000 | 3.30000      3.25000 | 11.25000 | 3.30000
Несоответствие индексов,1116,913,4.25000 | 7.75000 | 3.30000      3.75000 | 7.75000 | 3.30000      4.25000 | 7.25000 | 3.30000      3.75000 | 7.25000 | 3.30000,4.25000 | 7.75000 | 3.30000      3.75000 | 7.75000 | 3.30000      3.75000 | 7.25000 | 3.30000      4.25000 | 7.25000 | 3.30000
Несоответствие индексов,4407,4545,15.75000 | 2.25000 | 0.00000      15.75000 | 2.75000 | 0.00000,15.75000 | 2.25000 | 0.00000      15.75000 | 2.75000 | 0.00000
Несоответствие индексов,1353,1130,5.25000 | 6.75000 | 0.00000      4.75000 | 6.75000 | 0.00000      5.25000 | 6.25000 | 0.00000      4.75000 | 6.25000 | 0.00000,5.25000 | 6.75000 | 0.00000      4.75000 | 6.75000 | 0.00000      4.75000 | 6.25000 | 0.00000      5.25000 | 6.25000 | 0.00000
Несоответствие индексов,3614,2957,13.25000 | 2.75000 | 0.00000      12.75000 | 2.75000 | 0.00000      13.25000 | 2.25000 | 0.00000      12.75000 | 2.25000 | 0.00000,13.25000 | 2.75000 | 0.00000      12.75000 | 2.75000 | 0.00000      12.75000 | 2.25000 | 0.00000      13.25000 | 2.25000 | 0.00000
Несоответствие индексов,868,689,3.25000 | 8.25000 | 3.30000      2.75000 | 8.25000 | 3.30000      3.25000 | 7.75000 | 3.30000      2.75000 | 7.75000 | 3.30000,3.25000 | 8.25000 | 3.30000      2.75000 | 8.25000 | 3.30000      2.75000 | 7.75000 | 3.30000      3.25000 | 7.75000 | 3.30000
Несоответствие индексов,4411,3661,15.75000 | 3.25000 | -2.75000      15.75000 | 2.75000 | -2.75000      15.75000 | 3.25000 | -3.30000      15.75000 | 2.75000 | -3.30000,15.75000 | 3.25000 | -2.75000      15.75000 | 2.75000 | -2.75000      15.75000 | 2.75000 | -3.30000      15.75000 | 3.25000 | -3.30000
Несоответствие индексов,539,3945,1.25000 | 12.75000 | 9.90000      1.75000 | 12.75000 | 9.90000,1.25000 | 12.75000 | 9.90000      1.75000 | 12.75000 | 9.90000
