Целевая площадь;Основной шаг;Доп. шаг;Основная арматура;Доп. арматура;Общая площадь;Отклонение (%)
;;;Ø6 мм;Ø4 мм;4.090;354.44
;;;Ø6 мм;Ø6 мм;5.660;528.89
;;;Ø3 мм;Ø8 мм;5.740;537.78
;;;Ø8 мм;Ø3 мм;5.740;537.78
;;;Ø4 мм;Ø8 мм;6.290;598.89
;;;Ø8 мм;Ø4 мм;6.290;598.89
;;;Ø6 мм;Ø8 мм;7.860;773.33
;;;Ø8 мм;Ø6 мм;7.860;773.33
;;;Ø3 мм;Ø10 мм;8.560;851.11
;;;Ø10 мм;Ø3 мм;8.560;851.11
;;;Ø4 мм;Ø10 мм;9.110;912.22
;;;Ø10 мм;Ø4 мм;9.110;912.22
;;;Ø8 мм;Ø8 мм;10.060;1017.78

1;0.4;0.2;Ø3 мм;Ø3 мм;0.533;-46.75
;;;Ø4 мм;Ø3 мм;0.670;-33.00
;;;Ø3 мм;Ø4 мм;0.808;-19.25
;;;Ø4 мм;Ø4 мм;0.945;-5.50
;;;Ø6 мм;Ø3 мм;1.062;6.25
;;;Ø6 мм;Ø4 мм;1.337;33.75
;;;Ø3 мм;Ø6 мм;1.592;59.25
;;;Ø8 мм;Ø3 мм;1.613;61.25
;;;Ø4 мм;Ø6 мм;1.730;73.00
;;;Ø8 мм;Ø4 мм;1.888;88.75
;;;Ø6 мм;Ø6 мм;2.122;112.25
;;;Ø10 мм;Ø3 мм;2.318;131.75
;;;Ø10 мм;Ø4 мм;2.593;159.25
;;;Ø8 мм;Ø6 мм;2.673;167.25
;;;Ø3 мм;Ø8 мм;2.693;169.25
;;;Ø4 мм;Ø8 мм;2.830;183.00
;;;Ø12 мм;Ø3 мм;3.183;218.25
;;;Ø6 мм;Ø8 мм;3.223;222.25
;;;Ø10 мм;Ø6 мм;3.378;237.75
;;;Ø12 мм;Ø4 мм;3.457;245.75

1.1;0.4;0.2;Ø3 мм;Ø3 мм;0.533;-51.59
;;;Ø4 мм;Ø3 мм;0.670;-39.09
;;;Ø3 мм;Ø4 мм;0.808;-26.59
;;;Ø4 мм;Ø4 мм;0.945;-14.09
;;;Ø6 мм;Ø3 мм;1.062;-3.41
;;;Ø6 мм;Ø4 мм;1.337;21.59
;;;Ø3 мм;Ø6 мм;1.592;44.77
;;;Ø8 мм;Ø3 мм;1.613;46.59
;;;Ø4 мм;Ø6 мм;1.730;57.27
;;;Ø8 мм;Ø4 мм;1.888;71.59
;;;Ø6 мм;Ø6 мм;2.122;92.95
;;;Ø10 мм;Ø3 мм;2.318;110.68
;;;Ø10 мм;Ø4 мм;2.593;135.68
;;;Ø8 мм;Ø6 мм;2.673;142.95
;;;Ø3 мм;Ø8 мм;2.693;144.77
;;;Ø4 мм;Ø8 мм;2.830;157.27
;;;Ø12 мм;Ø3 мм;3.183;189.32
;;;Ø6 мм;Ø8 мм;3.223;192.95
;;;Ø10 мм;Ø6 мм;3.378;207.05
;;;Ø12 мм;Ø4 мм;3.457;214.32

1.2;0.4;0.2;Ø3 мм;Ø3 мм;0.533;-55.62
;;;Ø4 мм;Ø3 мм;0.670;-44.17
;;;Ø3 мм;Ø4 мм;0.808;-32.71
;;;Ø4 мм;Ø4 мм;0.945;-21.25
;;;Ø6 мм;Ø3 мм;1.062;-11.46
;;;Ø6 мм;Ø4 мм;1.337;11.46
;;;Ø3 мм;Ø6 мм;1.592;32.71
;;;Ø8 мм;Ø3 мм;1.613;34.38
;;;Ø4 мм;Ø6 мм;1.730;44.17
;;;Ø8 мм;Ø4 мм;1.888;57.29
;;;Ø6 мм;Ø6 мм;2.122;76.87
;;;Ø10 мм;Ø3 мм;2.318;93.12
;;;Ø10 мм;Ø4 мм;2.593;116.04
;;;Ø8 мм;Ø6 мм;2.673;122.71
;;;Ø3 мм;Ø8 мм;2.693;124.38
;;;Ø4 мм;Ø8 мм;2.830;135.83
;;;Ø12 мм;Ø3 мм;3.183;165.21
;;;Ø6 мм;Ø8 мм;3.223;168.54
;;;Ø10 мм;Ø6 мм;3.378;181.46
;;;Ø12 мм;Ø4 мм;3.457;188.12

1.3;0.4;0.2;Ø3 мм;Ø3 мм;0.533;-59.04
;;;Ø4 мм;Ø3 мм;0.670;-48.46
;;;Ø3 мм;Ø4 мм;0.808;-37.88
;;;Ø4 мм;Ø4 мм;0.945;-27.31
;;;Ø6 мм;Ø3 мм;1.062;-18.27
;;;Ø6 мм;Ø4 мм;1.337;2.88
;;;Ø3 мм;Ø6 мм;1.592;22.50
;;;Ø8 мм;Ø3 мм;1.613;24.04
;;;Ø4 мм;Ø6 мм;1.730;33.08
;;;Ø8 мм;Ø4 мм;1.888;45.19
;;;Ø6 мм;Ø6 мм;2.122;63.27
;;;Ø10 мм;Ø3 мм;2.318;78.27
;;;Ø10 мм;Ø4 мм;2.593;99.42
;;;Ø8 мм;Ø6 мм;2.673;105.58
;;;Ø3 мм;Ø8 мм;2.693;107.12
;;;Ø4 мм;Ø8 мм;2.830;117.69
;;;Ø12 мм;Ø3 мм;3.183;144.81
;;;Ø6 мм;Ø8 мм;3.223;147.88
;;;Ø10 мм;Ø6 мм;3.378;159.81
;;;Ø12 мм;Ø4 мм;3.457;165.96

1.4;0.4;0.2;Ø3 мм;Ø3 мм;0.533;-61.96
;;;Ø4 мм;Ø3 мм;0.670;-52.14
;;;Ø3 мм;Ø4 мм;0.808;-42.32
