Номер,Индекс координаты,Координаты X,Координаты Y,Координаты Z,Тип,Материал
93,3,0.75,3.75,-1.1,44,7
94,0,0.75,4.25,0,44,7
94,1,0.75,3.75,0,44,7
94,2,0.75,4.25,-0.55,44,7
94,3,0.75,3.75,-0.55,44,7
95,0,0.75,3.75,0,5,3
95,1,0.75,4.25,0,5,3
96,0,0.75,3.75,3.3,5,3
96,1,0.75,4.25,3.3,5,3
97,0,0.75,3.75,6.6,5,3
97,1,0.75,4.25,6.6,5,3
98,0,0.75,3.75,9.9,5,3
98,1,0.75,4.25,9.9,5,3
99,0,0.75,4.75,-2.75,44,7
99,1,0.75,4.25,-2.75,44,7
99,2,0.75,4.75,-3.3,44,7
99,3,0.75,4.25,-3.3,44,7
100,0,0.75,4.75,-2.2,44,7
100,1,0.75,4.25,-2.2,44,7
100,2,0.75,4.75,-2.75,44,7
100,3,0.75,4.25,-2.75,44,7
101,0,0.75,4.75,-1.65,44,7
101,1,0.75,4.25,-1.65,44,7
101,2,0.75,4.75,-2.2,44,7
101,3,0.75,4.25,-2.2,44,7
102,0,0.75,4.75,0,44,7
102,1,0.75,4.25,0,44,7
102,2,0.75,4.75,-0.55,44,7
102,3,0.75,4.25,-0.55,44,7
103,0,0.75,4.25,0,5,3
103,1,0.75,4.75,0,5,3
104,0,0.75,4.25,3.3,5,3
104,1,0.75,4.75,3.3,5,3
105,0,0.75,4.25,6.6,5,3
105,1,0.75,4.75,6.6,5,3
106,0,0.75,4.25,9.9,5,3
106,1,0.75,4.75,9.9,5,3
107,0,0.75,5.25,-2.75,44,7
107,1,0.75,4.75,-2.75,44,7
107,2,0.75,5.25,-3.3,44,7
107,3,0.75,4.75,-3.3,44,7
108,0,0.75,5.25,-2.2,44,7
108,1,0.75,4.75,-2.2,44,7
108,2,0.75,5.25,-2.75,44,7
108,3,0.75,4.75,-2.75,44,7
109,0,0.75,5.25,-1.65,44,7
109,1,0.75,4.75,-1.65,44,7
109,2,0.75,5.25,-2.2,44,7
109,3,0.75,4.75,-2.2,44,7
110,0,0.75,5.25,0,44,7
110,1,0.75,4.75,0,44,7
110,2,0.75,5.25,-0.55,44,7
110,3,0.75,4.75,-0.55,44,7
111,0,0.75,4.75,0,5,3
111,1,0.75,5.25,0,5,3
112,0,0.75,4.75,3.3,5,3
112,1,0.75,5.25,3.3,5,3
113,0,0.75,4.75,6.6,5,3
113,1,0.75,5.25,6.6,5,3
114,0,0.75,4.75,9.9,5,3
114,1,0.75,5.25,9.9,5,3
115,0,0.75,5.75,-2.75,44,7
115,1,0.75,5.25,-2.75,44,7
115,2,0.75,5.75,-3.3,44,7
115,3,0.75,5.25,-3.3,44,7
116,0,0.75,5.75,-2.2,44,7
116,1,0.75,5.25,-2.2,44,7
116,2,0.75,5.75,-2.75,44,7
116,3,0.75,5.25,-2.75,44,7
117,0,0.75,5.75,-1.65,44,7
117,1,0.75,5.25,-1.65,44,7
117,2,0.75,5.75,-2.2,44,7
117,3,0.75,5.25,-2.2,44,7
118,0,0.75,5.75,0,44,7
118,1,0.75,5.25,0,44,7
118,2,0.75,5.75,-0.55,44,7
118,3,0.75,5.25,-0.55,44,7
119,0,0.75,5.25,0,5,3
119,1,0.75,5.75,0,5,3
120,0,0.75,5.25,3.3,5,3
120,1,0.75,5.75,3.3,5,3
121,0,0.75,5.25,6.6,5,3
121,1,0.75,5.75,6.6,5,3
122,0,0.75,5.25,9.9,5,3
122,1,0.75,5.75,9.9,5,3
123,0,0.75,6.25,-2.75,44,7
123,1,0.75,5.75,-2.75,44,7
123,2,0.75,6.25,-3.3,44,7
123,3,0.75,5.75,-3.3,44,7
124,0,0.75,6.25,-2.2,44,7
124,1,0.75,5.75,-2.2,44,7
124,2,0.75,6.25,-2.75,44,7
124,3,0.75,5.75,-2.75,44,7
125,0,0.75,6.25,-1.65,44,7
125,1,0.75,5.75,-1.65,44,7
125,2,0.75,6.25,-2.2,44,7
125,3,0.75,5.75,-2.2,44,7
126,0,0.75,6.25,-1.1,44,7
126,1,0.75,5.75,-1.1,44,7
126,2,0.75,6.25,-1.65,44,7
126,3,0.75,5.75,-1.65,44,7
127,0,0.75,6.25,-0.55,44,7
127,1,0.75,5.75,-0.55,44,7
127,2,0.75,6.25,-1.1,44,7
127,3,0.75,5.75,-1.1,44,7
128,0,0.75,6.25,0,44,7
128,1,0.75,5.75,0,44,7
128,2,0.75,6.25,-0.55,44,7
128,3,0.75,5.75,-0.55,44,7
129,0,0.75,5.75,0,5,3
129,1,0.75,6.25,0,5,3
130,0,0.75,5.75,3.3,5,3
130,1,0.75,6.25,3.3,5,3
131,0,0.75,5.75,6.6,5,3
131,1,0.75,6.25,6.6,5,3
132,0,0.75,5.75,9.9,5,3
132,1,0.75,6.25,9.9,5,3
133,0,0.75,6.75,-2.75,44,7
133,1,0.75,6.25,-2.75,44,7
133,2,0.75,6.75,-3.3,44,7
133,3,0.75,6.25,-3.3,44,7
134,0,0.75,6.75,-2.2,44,7
134,1,0.75,6.25,-2.2,44,7
134,2,0.75,6.75,-2.75,44,7
134,3,0.75,6.25,-2.75,44,7
135,0,0.75,6.75,-1.65,44,7
135,1,0.75,6.25,-1.65,44,7
135,2,0.75,6.75,-2.2,44,7
135,3,0.75,6.25,-2.2,44,7
136,0,0.75,6.75,-1.1,44,7
136,1,0.75,6.25,-1.1,44,7
136,2,0.75,6.75,-1.65,44,7
136,3,0.75,6.25,-1.65,44,7
137,0,0.75,6.75,-0.55,44,7
137,1,0.75,6.25,-0.55,44,7
137,2,0.75,6.75,-1.1,44,7
137,3,0.75,6.25,-1.1,44,7
138,0,0.75,6.75,0,44,7
138,1,0.75,6.25,0,44,7
138,2,0.75,6.75,-0.55,44,7
138,3,0.75,6.25,-0.55,44,7
139,0,0.75,6.25,0,5,3
139,1,0.75,6.75,0,5,3
140,0,0.75,6.25,3.3,5,3
140,1,0.75,6.75,3.3,5,3
141,0,0.75,6.25,6.6,5,3
141,1,0.75,6.75,6.6,5,3
142,0,0.75,6.25,9.9,5,3
142,1,0.75,6.75,9.9,5,3
143,0,0.75,6.75,-3.3,5,2
143,1,0.75,6.75,-2.75,5,2
144,0,0.75,6.75,-2.75,5,2
144,1,0.75,6.75,-2.2,5,2
145,0,0.75,6.75,-2.2,5,2
145,1,0.75,6.75,-1.65,5,2
146,0,0.75,6.75,-1.65,5,2
146,1,0.75,6.75,-1.1,5,2
147,0,0.75,6.75,-1.1,5,2
147,1,0.75,6.75,-0.55,5,2
148,0,0.75,6.75,-0.55,5,2
148,1,0.75,6.75,0,5,2
149,0,0.75,6.75,0,5,2
149,1,0.75,6.75,3.3,5,2
150,0,0.75,6.75,3.3,5,2
150,1,0.75,6.75,6.6,5,2
151,0,0.75,6.75,6.6,5,2
151,1,0.75,6.75,9.9,5,2
152,0,0.75,7.25,-2.75,44,7
152,1,0.75,6.75,-2.75,44,7
152,2,0.75,7.25,-3.3,44,7
152,3,0.75,6.75,-3.3,44,7
153,0,0.75,7.25,-2.2,44,7
153,1,0.75,6.75,-2.2,44,7
153,2,0.75,7.25,-2.75,44,7
153,3,0.75,6.75,-2.75,44,7
154,0,0.75,7.25,-1.65,44,7
154,1,0.75,6.75,-1.65,44,7
154,2,0.75,7.25,-2.2,44,7
154,3,0.75,6.75,-2.2,44,7
155,0,0.75,7.25,-1.1,44,7
155,1,0.75,6.75,-1.1,44,7
155,2,0.75,7.25,-1.65,44,7
155,3,0.75,6.75,-1.65,44,7
156,0,0.75,7.25,-0.55,44,7
156,1,0.75,6.75,-0.55,44,7
156,2,0.75,7.25,-1.1,44,7
156,3,0.75,6.75,-1.1,44,7
157,0,0.75,7.25,0,44,7
157,1,0.75,6.75,0,44,7
